cik,filer_cik,ticker,fiscal_year,report_date,filing_date,accession,path,error,len_full,len_1A,len_7
0000320193,0000320193,AAPL,2007,2007-09-29,2007-11-15,0001047469-07-009340,data/raw/0000320193/000104746907009340/a2181030z10-k.htm,,410242,44052,63820
0000320193,0000320193,AAPL,2008,2008-09-27,2008-11-05,0001193125-08-224958,data/raw/0000320193/000119312508224958/d10k.htm,,353854,50239,66677
0000320193,0000320193,AAPL,2009,2009-09-26,2009-10-27,0001193125-09-214859,data/raw/0000320193/000119312509214859/d10k.htm,,357982,52191,68965
0000320193,0000320193,AAPL,2010,2010-09-25,2010-10-27,0001193125-10-238044,data/raw/0000320193/000119312510238044/d10k.htm,,315946,51709,62455
0000320193,0000320193,AAPL,2011,2011-09-24,2011-10-26,0001193125-11-282113,data/raw/0000320193/000119312511282113/d220209d10k.htm,,283076,51288,59284
0000320193,0000320193,AAPL,2012,2012-09-29,2012-10-31,0001193125-12-444068,data/raw/0000320193/000119312512444068/d411355d10k.htm,,283958,48823,61081
0000320193,0000320193,AAPL,2013,2013-09-28,2013-10-30,0001193125-13-416534,data/raw/0000320193/000119312513416534/d590790d10k.htm,,294302,51122,61679
0000320193,0000320193,AAPL,2014,2014-09-27,2014-10-27,0001193125-14-383437,data/raw/0000320193/000119312514383437/d783162d10k.htm,,311555,53432,64021
0000320193,0000320193,AAPL,2015,2015-09-26,2015-10-28,0001193125-15-356351,data/raw/0000320193/000119312515356351/d17062d10k.htm,,299694,53873,58694
0000320193,0000320193,AAPL,2016,2016-09-24,2016-10-26,0001628280-16-020309,data/raw/0000320193/000162828016020309/a201610-k9242016.htm,,294153,52676,59105
0000320193,0000320193,AAPL,2017,2017-09-30,2017-11-03,0000320193-17-000070,data/raw/0000320193/000032019317000070/a10-k20179302017.htm,,301265,53520,60822
0000320193,0000320193,AAPL,2018,2018-09-29,2018-11-05,0000320193-18-000145,data/raw/0000320193/000032019318000145/a10-k20189292018.htm,,283593,55758,57621
0000320193,0000320193,AAPL,2019,2019-09-28,2019-10-31,0000320193-19-000119,data/raw/0000320193/000032019319000119/a10-k20199282019.htm,,239498,55288,34056
0000320193,0000320193,AAPL,2020,2020-09-26,2020-10-30,0000320193-20-000096,data/raw/0000320193/000032019320000096/aapl-20200926.htm,,244830,61331,32108
0000320193,0000320193,AAPL,2021,2021-09-25,2021-10-29,0000320193-21-000105,data/raw/0000320193/000032019321000105/aapl-20210925.htm,,224383,67133,18833
0000320193,0000320193,AAPL,2022,2022-09-24,2022-10-28,0000320193-22-000108,data/raw/0000320193/000032019322000108/aapl-20220924.htm,,216707,71307,17656
0000320193,0000320193,AAPL,2023,2023-09-30,2023-11-03,0000320193-23-000106,data/raw/0000320193/000032019323000106/aapl-20230930.htm,,201586,68372,15588
0000320193,0000320193,AAPL,2024,2024-09-28,2024-11-01,0000320193-24-000123,data/raw/0000320193/000032019324000123/aapl-20240928.htm,,205392,69278,15462
0000320193,0000320193,AAPL,2025,2025-09-27,2025-10-31,0000320193-25-000079,data/raw/0000320193/000032019325000079/aapl-20250927.htm,,207845,68571,18150
0001551152,0001551152,ABBV,2012,2012-12-31,2013-03-15,0001047469-13-002827,data/raw/0001551152/000104746913002827/a2213529z10-k.htm,,327038,74180,50181
0001551152,0001551152,ABBV,2013,2013-12-31,2014-02-21,0001047469-14-001154,data/raw/0001551152/000104746914001154/a2217723z10-k.htm,,344621,58306,39111
0001551152,0001551152,ABBV,2014,2014-12-31,2015-02-20,0001047469-15-000995,data/raw/0001551152/000104746915000995/a2223058z10-k.htm,,355818,52629,36603
0001551152,0001551152,ABBV,2015,2015-12-31,2016-02-19,0001047469-16-010239,data/raw/0001551152/000104746916010239/a2227341z10-k.htm,,370767,47901,46440
0001551152,0001551152,ABBV,2016,2016-12-31,2017-02-17,0001551152-17-000004,data/raw/0001551152/000155115217000004/abbv-12312016x10k.htm,,380324,48077,46812
0001551152,0001551152,ABBV,2017,2017-12-31,2018-02-16,0001551152-18-000014,data/raw/0001551152/000155115218000014/abbv-20171231x10k.htm,,370695,47655,46201
0001551152,0001551152,ABBV,2018,2018-12-31,2019-02-27,0001551152-19-000008,data/raw/0001551152/000155115219000008/abbv-20181231x10k.htm,,362760,45595,44119
0001551152,0001551152,ABBV,2019,2019-12-31,2020-02-21,0001551152-20-000007,data/raw/0001551152/000155115220000007/abbv-20191231x10k.htm,,368722,50135,38853
0001551152,0001551152,ABBV,2020,2020-12-31,2021-02-19,0001551152-21-000008,data/raw/0001551152/000155115221000008/abbv-20201231.htm,,412147,53865,32160
0001551152,0001551152,ABBV,2021,2021-12-31,2022-02-18,0001551152-22-000007,data/raw/0001551152/000155115222000007/abbv-20211231.htm,,405655,54103,31648
0001551152,0001551152,ABBV,2022,2022-12-31,2023-02-17,0001551152-23-000011,data/raw/0001551152/000155115223000011/abbv-20221231.htm,,401441,59860,30111
0001551152,0001551152,ABBV,2023,2023-12-31,2024-02-20,0001551152-24-000011,data/raw/0001551152/000155115224000011/abbv-20231231.htm,,406400,58740,31444
0001551152,0001551152,ABBV,2024,2024-12-31,2025-02-14,0001551152-25-000020,data/raw/0001551152/000155115225000020/abbv-20241231.htm,,423239,58730,31324
0001551152,0001551152,ABBV,2025,2025-12-31,2026-02-20,0001551152-26-000008,data/raw/0001551152/000155115226000008/abbv-20251231.htm,,419988,64012,31672
0000001800,0000001800,ABT,2007,2007-12-31,2008-02-19,0001047469-08-001480,data/raw/0000001800/000104746908001480/a2182445z10-k.htm,,299183,18732,52438
0000001800,0000001800,ABT,2008,2008-12-31,2009-02-20,0001047469-09-001642,data/raw/0000001800/000104746909001642/a2188623z10-k.htm,,307148,19301,54787
0000001800,0000001800,ABT,2009,2009-12-31,2010-02-19,0001047469-10-001018,data/raw/0000001800/000104746910001018/a2196380z10-k.htm,,281749,19501,53102
0000001800,0000001800,ABT,2010,2010-12-31,2011-02-18,0001047469-11-001056,data/raw/0000001800/000104746911001056/a2201962z10-k.htm,,309933,20103,70612
0000001800,0000001800,ABT,2011,2011-12-31,2012-02-21,0001047469-12-001216,data/raw/0000001800/000104746912001216/a2207147z10-k.htm,,328867,21651,90478
0000001800,0000001800,ABT,2012,2012-12-31,2013-02-15,0001047469-13-001180,data/raw/0000001800/000104746913001180/a2212523z10-k.htm,,312918,24852,82154
0000001800,0000001800,ABT,2013,2013-12-31,2014-02-21,0001047469-14-001176,data/raw/0000001800/000104746914001176/a2218043z10-k.htm,,283546,24368,68136
0000001800,0000001800,ABT,2014,2014-12-31,2015-02-27,0001047469-15-001377,data/raw/0000001800/000104746915001377/a2222655z10-k.htm,,304180,25404,79921
0000001800,0000001800,ABT,2015,2015-12-31,2016-02-19,0001047469-16-010246,data/raw/0000001800/000104746916010246/a2227279z10-k.htm,,309515,26437,81080
0000001800,0000001800,ABT,2016,2016-12-31,2017-02-17,0001047469-17-000744,data/raw/0000001800/000104746917000744/a2230875z10-k.htm,,323618,28502,115259
0000001800,0000001800,ABT,2017,2017-12-31,2018-02-16,0001047469-18-000856,data/raw/0000001800/000104746918000856/a2234264z10-k.htm,,349397,25663,115825
0000001800,0000001800,ABT,2018,2018-12-31,2019-02-22,0001047469-19-000624,data/raw/0000001800/000104746919000624/a2237733z10-k.htm,,348075,26374,109253
0000001800,0000001800,ABT,2019,2019-12-31,2020-02-21,0001104659-20-023904,data/raw/0000001800/000110465920023904/abt-20191231x10k59d41b.htm,,343270,26513,89137
0000001800,0000001800,ABT,2020,2020-12-31,2021-02-19,0001104659-21-025751,data/raw/0000001800/000110465921025751/abt-20201231x10k.htm,,309724,28962,75795
0000001800,0000001800,ABT,2021,2021-12-31,2022-02-18,0001104659-22-025141,data/raw/0000001800/000110465922025141/abt-20211231x10k.htm,,315821,30638,75957
0000001800,0000001800,ABT,2022,2022-12-31,2023-02-17,0001628280-23-004026,data/raw/0000001800/000162828023004026/abt-20221231.htm,,316207,33752,75416
0000001800,0000001800,ABT,2023,2023-12-31,2024-02-16,0001628280-24-005348,data/raw/0000001800/000162828024005348/abt-20231231.htm,,328176,34785,77900
0000001800,0000001800,ABT,2024,2024-12-31,2025-02-21,0001628280-25-007110,data/raw/0000001800/000162828025007110/abt-20241231.htm,,320328,34154,72496
0000001800,0000001800,ABT,2025,2025-12-31,2026-02-20,0001628280-26-010185,data/raw/0000001800/000162828026010185/abt-20251231.htm,,311933,32418,69709
0001467373,0001467373,ACN,2009,2009-08-31,2009-10-19,0001193125-09-209671,data/raw/0001467373/000119312509209671/d10k.htm,,378347,57118,11424
0001467373,0001467373,ACN,2010,2010-08-31,2010-10-26,0001193125-10-235847,data/raw/0001467373/000119312510235847/d10k.htm,,409174,68239,15319
0001467373,0001467373,ACN,2011,2011-08-31,2011-10-21,0001193125-11-277309,data/raw/0001467373/000119312511277309/d222389d10k.htm,,387598,73007,13043
0001467373,0001467373,ACN,2012,2012-08-31,2012-10-30,0001467373-12-000170,data/raw/0001467373/000146737312000170/acn831201210k.htm,,390166,76036,14455
0001467373,0001467373,ACN,2013,2013-08-31,2013-10-29,0001467373-13-000482,data/raw/0001467373/000146737313000482/acn831201310k.htm,,404727,81371,13440
0001467373,0001467373,ACN,2014,2014-08-31,2014-10-24,0001467373-14-000467,data/raw/0001467373/000146737314000467/acn831201410k.htm,,384838,81115,13610
0001467373,0001467373,ACN,2015,2015-08-31,2015-10-30,0001467373-15-000457,data/raw/0001467373/000146737315000457/acn831201510k.htm,,362812,79257,10916
0001467373,0001467373,ACN,2016,2016-08-31,2016-10-28,0001467373-16-001080,data/raw/0001467373/000146737316001080/acn831201610k.htm,,372523,77891,11443
0001467373,0001467373,ACN,2017,2017-08-31,2017-10-26,0001467373-17-000430,data/raw/0001467373/000146737317000430/acn831201710k.htm,,361369,79074,10159
0001467373,0001467373,ACN,2018,2018-08-31,2018-10-24,0001467373-18-000318,data/raw/0001467373/000146737318000318/acn831201810k.htm,,348179,80387,9719
0001467373,0001467373,ACN,2019,2019-08-31,2019-10-29,0001467373-19-000339,data/raw/0001467373/000146737319000339/acn831201910k.htm,,340573,80945,3371
0001467373,0001467373,ACN,2020,2020-08-31,2020-10-22,0001467373-20-000376,data/raw/0001467373/000146737320000376/acn-20200831.htm,,327918,85756,12425
0001467373,0001467373,ACN,2021,2021-08-31,2021-10-15,0001467373-21-000229,data/raw/0001467373/000146737321000229/acn-20210831.htm,,328646,86802,11337
0001467373,0001467373,ACN,2022,2022-08-31,2022-10-12,0001467373-22-000295,data/raw/0001467373/000146737322000295/acn-20220831.htm,,337399,83807,12724
0001467373,0001467373,ACN,2023,2023-08-31,2023-10-12,0001467373-23-000324,data/raw/0001467373/000146737323000324/acn-20230831.htm,,350364,86518,9192
0001467373,0001467373,ACN,2024,2024-08-31,2024-10-10,0001467373-24-000278,data/raw/0001467373/000146737324000278/acn-20240831.htm,,369110,91685,9950
0001467373,0001467373,ACN,2025,2025-08-31,2025-10-10,0001467373-25-000217,data/raw/0001467373/000146737325000217/acn-20250831.htm,,357840,93904,9639
0000796343,0000796343,ADBE,2007,2007-11-30,2008-01-24,0001047469-08-000497,data/raw/0000796343/000104746908000497/a2181848z10-k.htm,,403244,31295,60551
0000796343,0000796343,ADBE,2008,2008-11-28,2009-01-23,0000796343-09-000007,data/raw/0000796343/000079634309000007/form_10k.htm,,435130,38629,28724
0000796343,0000796343,ADBE,2009,2009-11-27,2010-01-22,0000796343-10-000003,data/raw/0000796343/000079634310000003/form_10k.htm,,514497,53381,30740
0000796343,0000796343,ADBE,2010,2010-12-03,2011-01-27,0000796343-11-000003,data/raw/0000796343/000079634311000003/form_10k.htm,,554887,53345,97285
0000796343,0000796343,ADBE,2011,2011-12-02,2012-01-26,0000796343-12-000003,data/raw/0000796343/000079634312000003/adbe10kfy11.htm,,522926,57520,88990
0000796343,0000796343,ADBE,2012,2012-11-30,2013-01-22,0000796343-13-000008,data/raw/0000796343/000079634313000008/adbe10kfy12.htm,,523516,59246,88034
0000796343,0000796343,ADBE,2013,2013-11-29,2014-01-21,0000796343-14-000004,data/raw/0000796343/000079634314000004/adbe10kfy13.htm,,417432,62647,89403
0000796343,0000796343,ADBE,2014,2014-11-28,2015-01-20,0000796343-15-000022,data/raw/0000796343/000079634315000022/adbe10kfy14.htm,,432460,63679,92903
0000796343,0000796343,ADBE,2015,2015-11-27,2016-01-19,0000796343-16-000224,data/raw/0000796343/000079634316000224/adbe10kfy15.htm,,425119,67042,87761
0000796343,0000796343,ADBE,2016,2016-12-02,2017-01-20,0000796343-17-000031,data/raw/0000796343/000079634317000031/adbe10kfy16.htm,,412909,65076,83293
0000796343,0000796343,ADBE,2017,2017-12-01,2018-01-22,0000796343-18-000015,data/raw/0000796343/000079634318000015/adbe10kfy17.htm,,399362,62024,76943
0000796343,0000796343,ADBE,2018,2018-11-30,2019-01-25,0000796343-19-000019,data/raw/0000796343/000079634319000019/adbe10kfy18.htm,,417284,65035,67565
0000796343,0000796343,ADBE,2019,2019-11-29,2020-01-21,0000796343-20-000013,data/raw/0000796343/000079634320000013/adbe10kfy19.htm,,434009,68410,61705
0000796343,0000796343,ADBE,2020,2020-11-27,2021-01-15,0000796343-21-000004,data/raw/0000796343/000079634321000004/adbe-20201127.htm,,446028,78528,63489
0000796343,0000796343,ADBE,2021,2021-12-03,2022-01-21,0000796343-22-000032,data/raw/0000796343/000079634322000032/adbe-20211203.htm,,379067,80266,54885
0000796343,0000796343,ADBE,2022,2022-12-02,2023-01-17,0000796343-23-000007,data/raw/0000796343/000079634323000007/adbe-20221202.htm,,371328,73826,53877
0000796343,0000796343,ADBE,2023,2023-12-01,2024-01-17,0000796343-24-000006,data/raw/0000796343/000079634324000006/adbe-20231201.htm,,366534,65989,49420
0000796343,0000796343,ADBE,2024,2024-11-29,2025-01-13,0000796343-25-000004,data/raw/0000796343/000079634325000004/adbe-20241129.htm,,377256,66615,48822
0000796343,0000796343,ADBE,2025,2025-11-28,2026-01-15,0000796343-26-000003,data/raw/0000796343/000079634326000003/adbe-20251128.htm,,345852,69640,46704
0000006951,0000006951,AMAT,2007,2007-10-28,2007-12-14,0000891618-07-000682,data/raw/0000006951/000089161807000682/f36116e10vk.htm,,327481,26091,66324
0000006951,0000006951,AMAT,2008,2008-10-26,2008-12-12,0000950134-08-022104,data/raw/0000006951/000095013408022104/f50137e10vk.htm,,350441,35203,75245
0000006951,0000006951,AMAT,2009,2009-10-25,2009-12-11,0000950123-09-070205,data/raw/0000006951/000095012309070205/f53510e10vk.htm,,360285,41359,71424
0000006951,0000006951,AMAT,2010,2010-10-31,2010-12-10,0000950123-10-112754,data/raw/0000006951/000095012310112754/f56996e10vk.htm,,378236,47038,75574
0000006951,0000006951,AMAT,2011,2011-10-30,2011-12-06,0001193125-11-332050,data/raw/0000006951/000119312511332050/d250870d10k.htm,,405847,54123,92764
0000006951,0000006951,AMAT,2012,2012-10-28,2012-12-05,0000006951-12-000018,data/raw/0000006951/000000695112000018/amat10282012-10kdoc.htm,,407690,54833,94258
0000006951,0000006951,AMAT,2013,2013-10-27,2013-12-04,0000006951-13-000044,data/raw/0000006951/000000695113000044/amat10272013-10kdoc.htm,,378374,51772,86741
0000006951,0000006951,AMAT,2014,2014-10-26,2014-12-17,0000006951-14-000037,data/raw/0000006951/000000695114000037/amat10262014-10kdoc.htm,,366612,51778,82092
0000006951,0000006951,AMAT,2015,2015-10-25,2015-12-09,0000006951-15-000034,data/raw/0000006951/000000695115000034/amat10252015-10xkdoc.htm,,338622,50661,80723
0000006951,0000006951,AMAT,2016,2016-10-30,2016-12-15,0000006951-16-000068,data/raw/0000006951/000000695116000068/amat10302016-10k.htm,,324606,51414,75061
0000006951,0000006951,AMAT,2017,2017-10-29,2017-12-15,0000006951-17-000038,data/raw/0000006951/000000695117000038/amat1029201710-kq42017.htm,,314303,50259,66216
0000006951,0000006951,AMAT,2018,2018-10-28,2018-12-13,0000006951-18-000041,data/raw/0000006951/000000695118000041/amat1028201810-kq42018.htm,,311473,52547,65134
0000006951,0000006951,AMAT,2019,2019-10-27,2019-12-13,0000006951-19-000046,data/raw/0000006951/000000695119000046/amat-20191027.htm,,326206,54427,66266
0000006951,0000006951,AMAT,2020,2020-10-25,2020-12-11,0000006951-20-000048,data/raw/0000006951/000000695120000048/amat-20201025.htm,,339370,63040,70990
0000006951,0000006951,AMAT,2021,2021-10-31,2021-12-17,0000006951-21-000043,data/raw/0000006951/000000695121000043/amat-20211031.htm,,337801,67667,69211
0000006951,0000006951,AMAT,2022,2022-10-30,2022-12-16,0000006951-22-000043,data/raw/0000006951/000000695122000043/amat-20221030.htm,,338238,73260,68056
0000006951,0000006951,AMAT,2023,2023-10-29,2023-12-15,0000006951-23-000041,data/raw/0000006951/000000695123000041/amat-20231029.htm,,317415,68122,53007
0000006951,0000006951,AMAT,2024,2024-10-27,2024-12-13,0000006951-24-000044,data/raw/0000006951/000000695124000044/amat-20241027.htm,,295188,75218,39060
0000006951,0000006951,AMAT,2025,2025-10-26,2025-12-12,0001628280-25-056742,data/raw/0000006951/000162828025056742/amat-20251026.htm,,292251,68708,40926
0000002488,0000002488,AMD,2007,2007-12-29,2008-02-26,0001193125-08-038588,data/raw/0000002488/000119312508038588/d10k.htm,,607849,159381,2357
0000002488,0000002488,AMD,2008,2008-12-27,2009-02-24,0001193125-09-036235,data/raw/0000002488/000119312509036235/d10k.htm,,653791,77340,184119
0000002488,0000002488,AMD,2009,2009-12-26,2010-02-19,0001193125-10-035218,data/raw/0000002488/000119312510035218/d10k.htm,,545278,67120,6641
0000002488,0000002488,AMD,2010,2010-12-25,2011-02-18,0001193125-11-040392,data/raw/0000002488/000119312511040392/d10k.htm,,513266,66705,150715
0000002488,0000002488,AMD,2011,2011-12-31,2012-02-24,0001193125-12-075837,data/raw/0000002488/000119312512075837/d257108d10k.htm,,467234,70118,146019
0000002488,0000002488,AMD,2012,2012-12-29,2013-02-21,0001193125-13-069422,data/raw/0000002488/000119312513069422/d486815d10k.htm,,424644,75915,154277
0000002488,0000002488,AMD,2013,2013-12-28,2014-02-18,0001193125-14-057240,data/raw/0000002488/000119312514057240/d674550d10k.htm,,411671,77954,151616
0000002488,0000002488,AMD,2014,2014-12-27,2015-02-19,0001193125-15-054362,data/raw/0000002488/000119312515054362/d871455d10k.htm,,426767,79947,107229
0000002488,0000002488,AMD,2015,2015-12-26,2016-02-18,0000002488-16-000111,data/raw/0000002488/000000248816000111/amd-12262015x10k.htm,,437648,82568,154720
0000002488,0000002488,AMD,2016,2016-12-31,2017-02-21,0000002488-17-000043,data/raw/0000002488/000000248817000043/amd-12312016x10k.htm,,468002,88435,163555
0000002488,0000002488,AMD,2017,2017-12-30,2018-02-27,0000002488-18-000042,data/raw/0000002488/000000248818000042/amd-12302017x10k.htm,,491742,89849,172568
0000002488,0000002488,AMD,2018,2018-12-29,2019-02-08,0000002488-19-000011,data/raw/0000002488/000000248819000011/amd-12292018x10k.htm,,433178,90617,171097
0000002488,0000002488,AMD,2019,2019-12-28,2020-02-04,0000002488-20-000008,data/raw/0000002488/000000248820000008/amdform10-kfy2019.htm,,361957,88523,167179
0000002488,0000002488,AMD,2020,2020-12-26,2021-01-29,0001628280-21-001185,data/raw/0000002488/000162828021001185/amd-20201226.htm,,373574,109803,177502
0000002488,0000002488,AMD,2021,2021-12-25,2022-02-03,0000002488-22-000016,data/raw/0000002488/000000248822000016/amd-20211225.htm,,353996,112326,170312
0000002488,0000002488,AMD,2022,2022-12-31,2023-02-27,0000002488-23-000047,data/raw/0000002488/000000248823000047/amd-20221231.htm,,395132,116733,175472
0000002488,0000002488,AMD,2023,2023-12-30,2024-01-31,0000002488-24-000012,data/raw/0000002488/000000248824000012/amd-20231230.htm,,394924,125789,197420
0000002488,0000002488,AMD,2024,2024-12-28,2025-02-05,0000002488-25-000012,data/raw/0000002488/000000248825000012/amd-20241228.htm,,375409,126211,189486
0000002488,0000002488,AMD,2025,2025-12-27,2026-02-04,0000002488-26-000018,data/raw/0000002488/000000248826000018/amd-20251227.htm,,392862,131981,197922
0000318154,0000318154,AMGN,2007,2007-12-31,2008-02-28,0001193125-08-040431,data/raw/0000318154/000119312508040431/d10k.htm,,625400,104865,88672
0000318154,0000318154,AMGN,2008,2008-12-31,2009-02-27,0001193125-09-041091,data/raw/0000318154/000119312509041091/d10k.htm,,667166,131932,98364
0000318154,0000318154,AMGN,2009,2009-12-31,2010-03-01,0001193125-10-044311,data/raw/0000318154/000119312510044311/d10k.htm,,606536,76041,91054
0000318154,0000318154,AMGN,2010,2010-12-31,2011-02-25,0000950123-11-018800,data/raw/0000318154/000095012311018800/v57113e10vk.htm,,567748,89389,63738
0000318154,0000318154,AMGN,2011,2011-12-31,2012-02-29,0001193125-12-086670,data/raw/0000318154/000119312512086670/d241420d10k.htm,,593649,102815,69775
0000318154,0000318154,AMGN,2012,2012-12-31,2013-02-27,0001445305-13-000364,data/raw/0000318154/000144530513000364/amgn-12312012x10k.htm,,595875,112031,71367
0000318154,0000318154,AMGN,2013,2013-12-31,2014-02-24,0000318154-14-000004,data/raw/0000318154/000031815414000004/amgn-12312013x10k.htm,,469542,74915,70030
0000318154,0000318154,AMGN,2014,2014-12-31,2015-02-19,0000318154-15-000005,data/raw/0000318154/000031815415000005/amgn-12312014x10k.htm,,483856,77525,75892
0000318154,0000318154,AMGN,2015,2015-12-31,2016-02-16,0000318154-16-000031,data/raw/0000318154/000031815416000031/amgn-12312015x10k.htm,,470914,70187,74052
0000318154,0000318154,AMGN,2016,2016-12-31,2017-02-14,0000318154-17-000004,data/raw/0000318154/000031815417000004/amgn-12312016x10k.htm,,458957,75537,65556
0000318154,0000318154,AMGN,2017,2017-12-31,2018-02-13,0000318154-18-000004,data/raw/0000318154/000031815418000004/amgn-12312017x10k.htm,,496116,86209,70872
0000318154,0000318154,AMGN,2018,2018-12-31,2019-02-13,0000318154-19-000008,data/raw/0000318154/000031815419000008/amgn-12312018x10kq42018.htm,,510229,100939,68183
0000318154,0000318154,AMGN,2019,2019-12-31,2020-02-12,0000318154-20-000017,data/raw/0000318154/000031815420000017/amgn-12312019x10kq42019.htm,,532963,113231,66040
0000318154,0000318154,AMGN,2020,2020-12-31,2021-02-09,0000318154-21-000010,data/raw/0000318154/000031815421000010/amgn-20201231.htm,,592816,147871,73720
0000318154,0000318154,AMGN,2021,2021-12-31,2022-02-16,0000318154-22-000010,data/raw/0000318154/000031815422000010/amgn-20211231.htm,,590314,149548,75085
0000318154,0000318154,AMGN,2022,2022-12-31,2023-02-09,0000318154-23-000017,data/raw/0000318154/000031815423000017/amgn-20221231.htm,,588255,145533,78416
0000318154,0000318154,AMGN,2023,2023-12-31,2024-02-14,0000318154-24-000011,data/raw/0000318154/000031815424000011/amgn-20231231.htm,,607669,149391,77213
0000318154,0000318154,AMGN,2024,2024-12-31,2025-02-14,0000318154-25-000010,data/raw/0000318154/000031815425000010/amgn-20241231.htm,,629204,160765,76413
0000318154,0000318154,AMGN,2025,2025-12-31,2026-02-13,0000318154-26-000010,data/raw/0000318154/000031815426000010/amgn-20251231.htm,,639492,157397,79909
0001053507,0001053507,AMT,2007,2007-12-31,2008-03-14,0001193125-08-057075,data/raw/0001053507/000119312508057075/d10k.htm,,498928,36130,121815
0001053507,0001053507,AMT,2008,2008-12-31,2009-02-26,0001193125-09-039177,data/raw/0001053507/000119312509039177/d10k.htm,,409792,36292,93089
0001053507,0001053507,AMT,2009,2009-12-31,2010-03-01,0001193125-10-044876,data/raw/0001053507/000119312510044876/d10k.htm,,405794,37373,91200
0001053507,0001053507,AMT,2010,2010-12-31,2011-02-28,0001193125-11-050129,data/raw/0001053507/000119312511050129/d10k.htm,,412754,34211,100548
0001053507,0001053507,AMT,2011,2011-12-31,2012-02-29,0001193125-12-086162,data/raw/0001053507/000119312512086162/d278077d10k.htm,,506393,45128,115943
0001053507,0001053507,AMT,2012,2012-12-31,2013-02-27,0001193125-13-077821,data/raw/0001053507/000119312513077821/d448028d10k.htm,,521062,44494,117714
0001053507,0001053507,AMT,2013,2013-12-31,2014-02-26,0001193125-14-068001,data/raw/0001053507/000119312514068001/d636311d10k.htm,,526834,42036,138941
0001053507,0001053507,AMT,2014,2014-12-31,2015-02-24,0001193125-15-059026,data/raw/0001053507/000119312515059026/d846752d10k.htm,,531291,41407,134487
0001053507,0001053507,AMT,2015,2015-12-31,2016-02-26,0001053507-16-000018,data/raw/0001053507/000105350716000018/amt1231201510k.htm,,473139,38664,109796
0001053507,0001053507,AMT,2016,2016-12-31,2017-02-27,0001053507-17-000009,data/raw/0001053507/000105350717000009/amt1231201610k.htm,,471945,39033,108168
0001053507,0001053507,AMT,2017,2017-12-31,2018-02-28,0001053507-18-000006,data/raw/0001053507/000105350718000006/amt1231201710k.htm,,485519,39504,114614
0001053507,0001053507,AMT,2018,2018-12-31,2019-02-27,0001053507-19-000012,data/raw/0001053507/000105350719000012/amt1231201810k.htm,,504962,40163,123955
0001053507,0001053507,AMT,2019,2019-12-31,2020-02-25,0001053507-20-000028,data/raw/0001053507/000105350720000028/amt1231201910k.htm,,516439,42254,126293
0001053507,0001053507,AMT,2020,2020-12-31,2021-02-25,0001053507-21-000026,data/raw/0001053507/000105350721000026/amt-20201231.htm,,522804,48278,126727
0001053507,0001053507,AMT,2021,2021-12-31,2022-02-25,0001053507-22-000017,data/raw/0001053507/000105350722000017/amt-20211231.htm,,557056,60277,130114
0001053507,0001053507,AMT,2022,2022-12-31,2023-02-23,0001053507-23-000023,data/raw/0001053507/000105350723000023/amt-20221231.htm,,529204,62604,115608
0001053507,0001053507,AMT,2023,2023-12-31,2024-02-27,0001053507-24-000011,data/raw/0001053507/000105350724000011/amt-20231231.htm,,550724,63285,121989
0001053507,0001053507,AMT,2024,2024-12-31,2025-02-25,0001053507-25-000025,data/raw/0001053507/000105350725000025/amt-20241231.htm,,581507,62900,135331
0001053507,0001053507,AMT,2025,2025-12-31,2026-02-24,0001053507-26-000035,data/raw/0001053507/000105350726000035/amt-20251231.htm,,550899,73929,114300
0001018724,0001018724,AMZN,2007,2007-12-31,2008-02-11,0001193125-08-024707,data/raw/0001018724/000119312508024707/d10k.htm,,259726,39276,66955
0001018724,0001018724,AMZN,2008,2008-12-31,2009-01-30,0001193125-09-014406,data/raw/0001018724/000119312509014406/d10k.htm,,256990,39663,70139
0001018724,0001018724,AMZN,2009,2009-12-31,2010-01-29,0001193125-10-016098,data/raw/0001018724/000119312510016098/d10k.htm,,228686,38342,52433
0001018724,0001018724,AMZN,2010,2010-12-31,2011-01-28,0001193125-11-016253,data/raw/0001018724/000119312511016253/d10k.htm,,220417,38782,50240
0001018724,0001018724,AMZN,2011,2011-12-31,2012-02-01,0001193125-12-032846,data/raw/0001018724/000119312512032846/d269317d10k.htm,,241213,38842,51787
0001018724,0001018724,AMZN,2012,2012-12-31,2013-01-30,0001193125-13-028520,data/raw/0001018724/000119312513028520/d445434d10k.htm,,251602,39497,54073
0001018724,0001018724,AMZN,2013,2013-12-31,2014-01-31,0001018724-14-000006,data/raw/0001018724/000101872414000006/amzn-20131231x10k.htm,,254554,40054,56654
0001018724,0001018724,AMZN,2014,2014-12-31,2015-01-30,0001018724-15-000006,data/raw/0001018724/000101872415000006/amzn-20141231x10k.htm,,272623,43408,64065
0001018724,0001018724,AMZN,2015,2015-12-31,2016-01-29,0001018724-16-000172,data/raw/0001018724/000101872416000172/amzn-20151231x10k.htm,,267862,43894,64910
0001018724,0001018724,AMZN,2016,2016-12-31,2017-02-10,0001018724-17-000011,data/raw/0001018724/000101872417000011/amzn-20161231x10k.htm,,268242,44502,55449
0001018724,0001018724,AMZN,2017,2017-12-31,2018-02-02,0001018724-18-000005,data/raw/0001018724/000101872418000005/amzn-20171231x10k.htm,,281763,47116,57849
